task,"('google/gemma-3-270m-it', 'Base')","('google/gemma-3-270m-it', 'Best Skip Layer')","('google/gemma-3-270m-it', 'Performance')","('google/gemma-3-270m-it', 'Candidate Count')","('google/gemma-3-1b-it', 'Base')","('google/gemma-3-1b-it', 'Best Skip Layer')","('google/gemma-3-1b-it', 'Performance')","('google/gemma-3-1b-it', 'Candidate Count')","('meta-llama/Llama-3.2-1B-Instruct', 'Base')","('meta-llama/Llama-3.2-1B-Instruct', 'Best Skip Layer')","('meta-llama/Llama-3.2-1B-Instruct', 'Performance')","('meta-llama/Llama-3.2-1B-Instruct', 'Candidate Count')","('meta-llama/Llama-3.2-3B-Instruct', 'Base')","('meta-llama/Llama-3.2-3B-Instruct', 'Best Skip Layer')","('meta-llama/Llama-3.2-3B-Instruct', 'Performance')","('meta-llama/Llama-3.2-3B-Instruct', 'Candidate Count')","('Qwen/Qwen3-1.7B', 'Base')","('Qwen/Qwen3-1.7B', 'Best Skip Layer')","('Qwen/Qwen3-1.7B', 'Performance')","('Qwen/Qwen3-1.7B', 'Candidate Count')","('Qwen/Qwen3-4B', 'Base')","('Qwen/Qwen3-4B', 'Best Skip Layer')","('Qwen/Qwen3-4B', 'Performance')","('Qwen/Qwen3-4B', 'Candidate Count')","('Qwen/Qwen3-8B', 'Base')","('Qwen/Qwen3-8B', 'Best Skip Layer')","('Qwen/Qwen3-8B', 'Performance')","('Qwen/Qwen3-8B', 'Candidate Count')","('allenai/OLMo-2-0425-1B-Instruct', 'Base')","('allenai/OLMo-2-0425-1B-Instruct', 'Best Skip Layer')","('allenai/OLMo-2-0425-1B-Instruct', 'Performance')","('allenai/OLMo-2-0425-1B-Instruct', 'Candidate Count')","('allenai/OLMo-2-1124-7B-Instruct', 'Base')","('allenai/OLMo-2-1124-7B-Instruct', 'Best Skip Layer')","('allenai/OLMo-2-1124-7B-Instruct', 'Performance')","('allenai/OLMo-2-1124-7B-Instruct', 'Candidate Count')"
global_mmlu_full_fr_elementary_mathematics,26.19%,8,+1.32%,6,26.72%,11,+2.65%,7,28.31%,15,+1.32%,4,39.68%,23,-0.26%,0,48.68%,25,+2.12%,2,57.14%,27,+2.65%,2,68.78%,25,+2.65%,7,27.25%,15,+2.12%,3,32.80%,16,+1.59%,7
global_mmlu_full_fr_high_school_biology,28.39%,11,0.00%,0,44.84%,25,+1.29%,3,47.74%,14,-0.32%,0,61.29%,21,-0.32%,0,61.29%,18,+3.55%,2,81.61%,27,+1.61%,6,82.90%,2,+2.26%,6,30.97%,12,+5.48%,6,53.23%,19,+1.94%,10
global_mmlu_full_fr_high_school_chemistry,28.08%,16,+2.96%,5,31.53%,20,+1.48%,1,34.48%,15,+5.91%,2,47.78%,18,+2.46%,3,45.32%,17,+3.45%,8,64.53%,27,+2.46%,5,67.00%,2,+1.97%,3,27.59%,12,+3.94%,4,34.48%,22,+4.43%,11
global_mmlu_full_fr_high_school_computer_science,27.00%,8,+7.00%,7,33.00%,16,+5.00%,4,37.00%,14,+2.00%,2,56.00%,13,+4.00%,3,55.00%,25,+4.00%,5,80.00%,25,+3.00%,7,85.00%,29,0.00%,0,37.00%,15,0.00%,0,45.00%,24,+2.00%,5
global_mmlu_full_fr_high_school_mathematics,23.70%,8,+3.33%,10,25.56%,10,+2.22%,5,29.63%,10,+1.85%,2,34.44%,20,+2.96%,6,36.30%,16,+1.48%,2,39.26%,19,+3.33%,8,48.52%,27,+2.59%,8,28.89%,15,+2.22%,2,28.52%,10,+4.81%,15
global_mmlu_full_fr_high_school_physics,21.19%,1,+12.58%,9,31.79%,22,+0.66%,1,27.81%,13,+5.30%,4,35.10%,19,+1.99%,5,45.03%,25,+2.65%,1,46.36%,3,+7.95%,13,59.60%,2,+5.96%,12,27.15%,12,+5.30%,3,37.09%,1,+3.97%,5
global_mmlu_full_fr_high_school_statistics,20.83%,11,+19.91%,7,30.09%,22,+6.94%,5,36.11%,15,+2.31%,1,43.52%,19,+2.78%,6,42.59%,18,+16.67%,7,58.80%,35,+6.94%,7,74.54%,30,+1.85%,5,27.78%,8,+17.13%,3,37.50%,23,+3.24%,5
global_mmlu_full_fr_machine_learning,20.54%,6,+10.71%,15,24.11%,10,+12.50%,16,22.32%,0,+9.82%,12,33.04%,12,+5.36%,8,40.18%,13,+3.57%,2,48.21%,29,+5.36%,3,46.43%,30,+3.57%,5,24.11%,0,+5.36%,7,25.89%,22,+2.68%,11
global_mmlu_full_hi_formal_logic,19.84%,11,+11.90%,14,28.57%,18,+4.76%,12,34.13%,4,-0.79%,0,28.57%,4,+5.56%,10,35.71%,18,+7.14%,8,46.03%,22,+3.17%,6,56.35%,25,+2.38%,6,30.16%,8,+6.35%,3,31.75%,28,+5.56%,4
global_mmlu_full_hi_high_school_european_history,26.67%,14,+2.42%,5,37.58%,20,+3.03%,3,43.03%,14,+0.61%,1,52.12%,18,+3.03%,6,49.09%,27,+1.82%,2,60.00%,29,+1.82%,3,67.88%,22,+1.82%,3,27.27%,9,+1.82%,4,34.55%,19,+2.42%,10
global_mmlu_full_hi_high_school_us_history,24.02%,11,+4.41%,13,31.86%,18,+4.90%,7,36.27%,11,-1.96%,0,49.02%,18,+2.45%,4,39.71%,25,+0.98%,3,54.41%,34,+0.98%,3,65.69%,22,+1.96%,7,32.84%,14,-2.45%,0,27.94%,7,+4.90%,18
global_mmlu_full_hi_high_school_world_history,27.00%,3,+1.69%,6,36.71%,24,+6.75%,7,40.93%,14,0.00%,0,55.27%,16,+2.95%,5,50.21%,16,+1.27%,1,64.56%,27,+0.84%,2,74.68%,28,+0.84%,1,24.47%,0,+3.80%,12,30.38%,16,+2.11%,5
global_mmlu_full_hi_international_law,23.14%,9,+12.40%,14,44.63%,16,+8.26%,5,46.28%,15,+0.83%,1,61.98%,16,+1.65%,3,54.55%,20,+2.48%,5,66.12%,21,+4.96%,5,63.64%,22,+3.31%,9,20.66%,0,+6.61%,11,37.19%,13,+7.44%,9
global_mmlu_full_hi_jurisprudence,27.78%,3,+3.70%,6,34.26%,20,+3.70%,8,37.96%,15,+2.78%,1,54.63%,22,+1.85%,2,42.59%,5,+2.78%,3,47.22%,26,+1.85%,6,55.56%,22,+2.78%,2,19.44%,2,+12.96%,15,37.96%,13,+3.70%,7
global_mmlu_full_hi_logical_fallacies,23.93%,17,+6.13%,5,31.90%,16,+6.13%,2,30.67%,9,+2.45%,2,41.10%,20,+1.23%,1,41.10%,17,+1.23%,1,49.69%,19,+4.91%,3,52.15%,22,+1.84%,5,23.93%,11,+3.68%,9,32.52%,4,+3.07%,7
global_mmlu_full_hi_moral_disputes,25.72%,9,+7.23%,4,35.26%,24,+2.02%,4,37.57%,11,-1.73%,0,43.93%,17,+3.18%,4,40.75%,20,+0.87%,1,50.87%,27,+2.60%,5,52.60%,25,+1.45%,6,28.03%,3,+0.87%,1,33.82%,31,+1.45%,4
global_mmlu_full_hi_moral_scenarios,24.25%,11,+3.02%,7,23.69%,11,+4.36%,20,27.82%,5,+0.89%,1,24.47%,20,+4.02%,17,25.59%,27,+1.01%,6,28.83%,23,+2.35%,11,25.25%,17,+4.69%,23,27.26%,7,0.00%,0,23.13%,28,+4.25%,31
global_mmlu_full_hi_philosophy,27.65%,9,+3.54%,6,35.05%,20,+1.61%,5,37.94%,11,-0.64%,0,41.48%,20,+1.93%,3,38.59%,14,+3.22%,8,43.41%,22,+2.25%,6,58.84%,31,+0.32%,1,27.33%,15,+4.82%,8,34.41%,19,+0.32%,1
global_mmlu_full_hi_prehistory,27.78%,14,-0.93%,0,34.57%,15,0.00%,0,29.32%,11,+1.54%,2,39.81%,23,-0.93%,0,36.11%,24,+0.93%,1,39.51%,26,+4.32%,8,54.01%,29,+0.31%,1,23.15%,9,+5.86%,12,29.01%,27,+1.54%,6
global_mmlu_full_hi_professional_law,24.32%,17,+2.09%,12,27.31%,16,+2.41%,8,31.03%,15,+0.39%,1,33.31%,19,+0.78%,4,33.70%,25,+1.17%,3,35.46%,26,+0.46%,2,37.48%,33,+0.85%,6,26.14%,12,+0.78%,1,29.53%,20,+0.72%,6
global_mmlu_full_hi_world_religions,21.64%,3,+10.53%,15,38.60%,24,+1.75%,2,42.11%,14,-3.51%,0,56.14%,16,+0.58%,2,44.44%,23,+3.51%,3,57.31%,28,+1.17%,2,68.42%,19,+2.92%,4,27.49%,3,+2.34%,4,30.41%,9,+5.85%,12
global_mmlu_full_hi_business_ethics,23.00%,1,+8.00%,13,42.00%,17,+7.00%,5,37.00%,14,0.00%,0,53.00%,17,+2.00%,1,35.00%,17,+6.00%,10,48.00%,28,+5.00%,9,55.00%,22,+4.00%,8,21.00%,14,+13.00%,10,32.00%,9,+7.00%,16
global_mmlu_full_hi_clinical_knowledge,26.42%,11,+4.53%,5,39.62%,19,+1.89%,2,32.83%,15,+4.53%,4,47.92%,20,+1.89%,3,41.51%,24,+3.02%,3,52.45%,35,+1.13%,4,58.11%,22,+3.40%,10,30.57%,9,+2.26%,1,34.34%,28,+4.53%,14
global_mmlu_full_hi_college_medicine,19.08%,11,+13.29%,16,33.53%,22,+4.05%,1,29.48%,14,+3.47%,3,39.88%,26,+4.05%,6,37.57%,18,+2.31%,2,49.71%,26,+3.47%,5,59.54%,33,+3.47%,8,32.95%,8,+1.73%,1,26.01%,10,+5.20%,16
global_mmlu_full_hi_global_facts,34.00%,17,0.00%,0,30.00%,19,+6.00%,7,32.00%,9,+5.00%,3,29.00%,11,+10.00%,20,24.00%,13,+9.00%,15,24.00%,23,+6.00%,11,34.00%,1,+8.00%,13,15.00%,2,+18.00%,16,31.00%,6,+7.00%,9
global_mmlu_full_hi_human_aging,35.43%,13,+4.04%,4,31.84%,17,+6.73%,4,37.22%,15,+2.69%,3,45.29%,23,+3.14%,7,37.22%,20,+3.14%,11,43.50%,14,+4.48%,15,55.16%,21,+1.35%,6,20.63%,2,+16.59%,14,43.05%,24,+2.24%,3
global_mmlu_full_hi_management,29.13%,11,+6.80%,4,31.07%,13,+5.83%,7,34.95%,11,+5.83%,3,54.37%,20,0.00%,0,38.83%,19,+6.80%,4,47.57%,18,+7.77%,16,66.02%,25,0.00%,0,30.10%,8,+7.77%,2,36.89%,28,+3.88%,5
global_mmlu_full_hi_marketing,25.64%,1,+5.56%,11,43.59%,24,+4.70%,6,45.30%,11,+0.43%,1,57.26%,27,+1.28%,4,50.43%,13,+2.99%,3,68.80%,27,+1.28%,5,72.22%,21,+2.14%,10,23.08%,4,+10.68%,14,35.47%,8,+2.56%,7
global_mmlu_full_hi_medical_genetics,22.00%,1,+10.00%,17,36.00%,12,0.00%,0,35.00%,10,+3.00%,2,50.00%,16,0.00%,0,34.00%,13,+11.00%,19,50.00%,18,+2.00%,3,56.00%,20,+6.00%,12,26.00%,0,+7.00%,9,33.00%,8,+8.00%,9
global_mmlu_full_hi_miscellaneous,29.25%,13,+0.64%,2,34.36%,20,+1.28%,4,34.48%,15,+1.92%,3,45.34%,17,+0.89%,2,39.08%,14,+0.64%,3,54.02%,27,+0.13%,1,61.30%,33,+0.64%,8,24.65%,1,+4.98%,13,28.99%,13,+1.02%,9
global_mmlu_full_hi_nutrition,23.86%,14,+5.23%,8,39.87%,20,+2.29%,4,42.81%,14,-0.65%,0,51.63%,20,+3.27%,4,43.46%,24,+1.31%,5,58.82%,27,+1.31%,3,62.75%,22,+3.59%,8,31.37%,7,+3.59%,3,34.97%,31,+0.98%,4
global_mmlu_full_hi_professional_accounting,23.76%,4,+3.90%,9,28.01%,16,+2.13%,3,32.62%,15,+1.06%,1,33.33%,17,+3.19%,6,34.75%,25,+2.13%,3,32.62%,18,+3.55%,18,39.36%,26,+3.19%,3,26.95%,15,+3.55%,3,29.79%,11,+3.55%,13
global_mmlu_full_hi_professional_medicine,19.85%,11,+22.43%,6,27.94%,9,+12.13%,7,25.00%,0,+12.13%,4,33.46%,0,+5.51%,9,26.10%,18,+16.91%,16,44.12%,35,+4.04%,6,56.99%,30,+2.57%,7,41.18%,8,+2.57%,1,24.63%,15,+11.40%,18
global_mmlu_full_hi_virology,30.72%,15,+1.20%,2,36.14%,17,+5.42%,5,37.35%,12,+3.61%,2,39.16%,5,+4.22%,7,34.94%,17,+4.22%,11,39.16%,14,+4.82%,13,46.39%,9,+5.42%,8,19.28%,6,+10.84%,14,31.93%,9,+2.41%,7
global_mmlu_full_hi_econometrics,26.32%,3,+0.88%,3,23.68%,2,+7.02%,13,23.68%,12,+8.77%,9,34.21%,17,+2.63%,3,35.96%,26,+1.75%,1,35.96%,16,+2.63%,7,42.98%,25,+2.63%,6,24.56%,4,+7.02%,5,23.68%,8,+7.02%,14
global_mmlu_full_hi_high_school_geography,22.22%,11,+14.65%,8,38.89%,18,+2.02%,6,36.87%,10,+6.06%,2,51.01%,20,+5.05%,5,38.89%,17,+9.09%,4,56.06%,26,+2.02%,8,68.18%,31,+3.03%,5,27.78%,8,+7.58%,3,30.30%,28,+7.07%,13
global_mmlu_full_hi_high_school_government_and_politics,21.76%,11,+14.51%,7,34.72%,19,+3.63%,7,27.98%,11,+4.66%,5,41.97%,22,-0.52%,0,29.02%,19,+11.40%,10,46.11%,25,+2.59%,4,51.30%,22,+2.59%,5,31.61%,8,+3.11%,2,25.39%,18,+9.84%,15
global_mmlu_full_hi_high_school_macroeconomics,21.28%,11,+13.59%,9,34.87%,21,+2.31%,5,32.05%,14,+3.33%,3,38.21%,24,+2.31%,5,37.18%,25,+1.79%,4,48.21%,35,+2.82%,5,55.38%,31,+2.82%,10,35.64%,13,+2.82%,2,27.44%,28,+5.64%,14
global_mmlu_full_hi_high_school_microeconomics,23.11%,11,+10.92%,8,35.71%,18,+1.68%,5,35.29%,14,+1.68%,2,36.55%,18,+0.84%,4,34.45%,17,+3.78%,8,49.58%,31,+2.10%,4,57.98%,25,+2.94%,8,36.13%,13,+1.26%,2,26.89%,12,+9.24%,21
global_mmlu_full_hi_high_school_psychology,22.75%,11,+8.07%,9,40.37%,18,+0.18%,1,28.07%,15,+3.30%,4,42.57%,20,+2.75%,5,40.55%,25,+0.18%,1,48.81%,35,+2.57%,9,58.35%,22,+1.10%,7,31.93%,8,+3.30%,1,26.24%,15,+4.40%,14
global_mmlu_full_hi_human_sexuality,25.19%,4,+6.87%,10,37.40%,17,+3.82%,4,34.35%,14,+3.82%,2,53.44%,22,+0.76%,1,38.93%,22,+3.82%,7,48.85%,27,+2.29%,7,58.02%,16,+1.53%,3,29.77%,7,+0.76%,1,28.24%,15,+8.40%,14
global_mmlu_full_hi_professional_psychology,25.82%,17,+1.47%,2,29.08%,20,+3.43%,5,31.37%,11,+0.98%,1,39.71%,18,+0.98%,3,33.50%,23,+1.63%,6,41.67%,26,+2.29%,6,49.35%,26,+1.31%,4,26.31%,14,+2.94%,6,28.27%,2,+1.80%,5
global_mmlu_full_hi_public_relations,31.82%,12,+1.82%,3,41.82%,23,+0.91%,1,28.18%,15,+6.36%,3,40.91%,8,+2.73%,2,36.36%,16,+4.55%,9,48.18%,26,+2.73%,3,49.09%,9,+5.45%,12,26.36%,2,+12.73%,11,29.09%,21,+3.64%,12
global_mmlu_full_hi_security_studies,17.55%,11,+18.78%,15,44.90%,18,+2.04%,6,30.61%,14,+4.49%,3,55.10%,19,+1.63%,3,48.98%,22,+3.27%,6,58.78%,27,0.00%,0,66.12%,28,+2.04%,2,25.31%,12,+9.80%,8,34.69%,1,+5.71%,7
global_mmlu_full_hi_sociology,22.39%,12,+5.47%,15,46.27%,15,0.00%,0,38.81%,14,+4.48%,1,53.23%,13,+3.48%,10,47.26%,22,+1.00%,3,60.20%,21,+1.49%,8,66.17%,34,+2.49%,10,27.86%,12,+2.99%,5,30.35%,9,+3.98%,15
global_mmlu_full_hi_us_foreign_policy,23.00%,2,+6.00%,12,51.00%,24,+2.00%,3,54.00%,11,-3.00%,0,61.00%,19,+1.00%,1,57.00%,14,+1.00%,3,57.00%,25,+3.00%,2,65.00%,19,+4.00%,7,23.00%,13,+10.00%,9,39.00%,19,+3.00%,9
global_mmlu_full_hi_abstract_algebra,22.00%,8,+11.00%,9,22.00%,16,+10.00%,20,28.00%,9,+9.00%,3,33.00%,24,+5.00%,9,33.00%,8,+8.00%,7,33.00%,7,+5.00%,13,44.00%,26,+2.00%,3,26.00%,4,+11.00%,8,32.00%,5,+6.00%,7
global_mmlu_full_hi_anatomy,22.96%,9,+9.63%,9,37.78%,20,+2.96%,2,28.15%,11,+2.96%,3,32.59%,11,+5.93%,9,28.15%,11,+8.15%,16,43.70%,25,+4.44%,7,47.41%,31,+2.22%,7,17.78%,10,+8.89%,15,28.15%,6,+5.19%,6
global_mmlu_full_hi_astronomy,21.71%,11,+9.21%,7,28.95%,16,+9.21%,6,35.53%,11,-0.66%,0,39.47%,27,+4.61%,4,36.84%,17,+5.26%,6,60.53%,31,+3.29%,4,67.11%,25,+2.63%,8,30.92%,8,+3.29%,2,37.50%,16,+4.61%,3
global_mmlu_full_hi_college_biology,22.22%,4,+11.11%,17,34.72%,15,-0.69%,0,25.69%,7,+8.33%,11,37.50%,21,+2.08%,6,32.64%,18,+4.86%,8,52.78%,27,+2.78%,2,65.97%,27,+1.39%,2,25.69%,4,+2.08%,3,29.17%,23,+2.08%,3
global_mmlu_full_hi_college_chemistry,19.00%,11,+19.00%,8,35.00%,21,+3.00%,3,24.00%,1,+11.00%,11,35.00%,10,+5.00%,9,33.00%,19,+12.00%,8,42.00%,24,+6.00%,7,47.00%,20,+6.00%,11,35.00%,7,+6.00%,3,32.00%,28,+7.00%,8
global_mmlu_full_hi_college_computer_science,17.00%,1,+20.00%,16,32.00%,22,+2.00%,1,33.00%,7,+1.00%,3,30.00%,15,+9.00%,11,33.00%,17,+8.00%,6,51.00%,20,+5.00%,10,59.00%,35,+4.00%,6,33.00%,13,+2.00%,1,33.00%,19,+8.00%,9
global_mmlu_full_hi_college_mathematics,24.00%,9,+10.00%,7,28.00%,16,+2.00%,3,35.00%,14,-2.00%,0,24.00%,10,+12.00%,26,32.00%,17,+8.00%,12,43.00%,18,+4.00%,7,47.00%,22,+6.00%,5,34.00%,13,+4.00%,3,36.00%,9,+3.00%,3
global_mmlu_full_hi_college_physics,18.63%,11,+18.63%,12,17.65%,2,+10.78%,18,27.45%,10,+1.96%,4,25.49%,1,+9.80%,15,31.37%,18,+6.86%,9,38.24%,24,+3.92%,11,51.96%,29,+0.98%,1,31.37%,8,+4.90%,2,23.53%,14,+7.84%,12
global_mmlu_full_hi_computer_security,30.00%,14,+4.00%,3,36.00%,17,+15.00%,10,38.00%,11,-1.00%,0,49.00%,15,+2.00%,3,50.00%,21,+1.00%,2,61.00%,25,+1.00%,3,63.00%,29,+3.00%,3,19.00%,4,+9.00%,12,39.00%,19,+4.00%,1
global_mmlu_full_hi_conceptual_physics,30.64%,14,+1.70%,4,33.62%,19,+1.70%,1,27.66%,10,+3.83%,6,34.04%,26,+3.83%,8,43.40%,25,+1.28%,2,59.57%,35,+3.83%,5,65.96%,34,+2.55%,10,24.68%,11,+11.91%,14,27.23%,18,+5.11%,24
global_mmlu_full_hi_electrical_engineering,26.90%,17,+4.83%,4,35.86%,18,+6.21%,9,31.03%,11,+5.52%,5,46.90%,18,+3.45%,3,50.34%,22,+1.38%,1,59.31%,31,+4.14%,4,64.83%,27,+5.52%,9,25.52%,12,+14.48%,9,26.21%,10,+8.28%,24
global_mmlu_full_hi_elementary_mathematics,25.40%,11,+1.32%,4,25.40%,11,+4.50%,7,31.22%,11,-0.79%,0,35.19%,17,+1.32%,4,41.27%,25,-0.26%,0,53.70%,26,+2.12%,8,64.02%,28,+1.59%,6,30.42%,13,-1.32%,0,27.51%,11,+4.50%,16
global_mmlu_full_hi_high_school_biology,25.16%,11,+6.13%,8,37.74%,15,+2.58%,2,33.23%,15,+2.90%,2,47.74%,20,+1.94%,2,43.55%,26,+2.58%,4,60.65%,27,+0.97%,4,70.97%,28,+0.65%,1,28.71%,8,+1.94%,3,31.29%,12,+3.23%,12
global_mmlu_full_hi_high_school_chemistry,27.59%,17,+4.43%,6,28.57%,11,+0.49%,1,26.60%,15,+7.88%,8,37.93%,13,+4.93%,7,40.89%,25,+2.96%,8,57.14%,28,+1.48%,2,65.02%,27,0.00%,0,27.59%,13,+5.91%,10,26.60%,10,+7.39%,22
global_mmlu_full_hi_high_school_computer_science,20.00%,3,+16.00%,12,34.00%,23,+3.00%,4,36.00%,11,+4.00%,1,39.00%,17,+5.00%,9,53.00%,16,+2.00%,5,75.00%,26,+3.00%,5,86.00%,28,+3.00%,9,23.00%,4,+7.00%,8,27.00%,24,+7.00%,13
global_mmlu_full_hi_high_school_mathematics,25.19%,11,+3.70%,3,22.96%,20,+3.33%,8,30.00%,15,0.00%,0,29.63%,10,+5.93%,12,34.81%,20,+2.96%,3,37.78%,15,+4.81%,10,47.41%,26,+2.59%,9,28.15%,1,+2.96%,1,28.52%,12,+3.33%,16
global_mmlu_full_hi_high_school_physics,19.87%,11,+15.23%,11,25.17%,2,+5.30%,6,26.49%,11,+5.96%,2,30.46%,5,+3.97%,10,25.83%,18,+7.95%,8,43.71%,31,+1.99%,5,57.62%,28,+0.66%,1,29.14%,8,+5.96%,2,27.81%,6,+7.95%,10
global_mmlu_full_hi_high_school_statistics,16.67%,11,+23.61%,11,30.09%,22,+9.26%,2,31.94%,15,+2.31%,2,31.94%,0,+5.56%,9,32.41%,18,+11.11%,4,49.54%,24,+2.78%,5,61.57%,33,+1.39%,2,33.33%,8,+11.11%,1,30.09%,18,+10.19%,15
global_mmlu_full_hi_machine_learning,27.68%,6,+4.46%,12,27.68%,10,+11.61%,13,24.11%,14,+11.61%,11,30.36%,13,+7.14%,13,39.29%,15,+2.68%,7,39.29%,29,+5.36%,13,49.11%,29,+0.89%,3,17.86%,0,+21.43%,14,22.32%,18,+6.25%,19
global_mmlu_full_id_formal_logic,18.25%,1,+16.67%,15,30.16%,22,+5.56%,9,26.98%,13,+9.52%,9,29.37%,26,+9.52%,12,38.10%,18,+7.14%,11,54.76%,8,+0.79%,3,61.11%,35,+2.38%,2,28.57%,8,+3.17%,2,36.51%,22,+3.17%,4
global_mmlu_full_id_high_school_european_history,25.45%,8,+6.06%,6,47.27%,15,+3.03%,5,48.48%,14,+1.82%,1,61.82%,19,+1.21%,4,61.21%,23,-0.61%,0,67.88%,31,+1.82%,6,74.55%,34,+2.42%,10,38.18%,14,+2.42%,1,56.97%,24,+1.82%,6
global_mmlu_full_id_high_school_us_history,19.61%,2,+7.84%,18,37.25%,24,+2.94%,7,40.69%,11,+3.92%,2,58.33%,18,+3.43%,6,50.00%,25,+2.45%,4,70.59%,29,+0.49%,1,76.96%,33,+1.47%,1,30.88%,11,+2.45%,4,49.02%,25,+1.96%,9
global_mmlu_full_id_high_school_world_history,26.16%,9,+3.38%,8,42.19%,15,+5.91%,6,52.74%,15,+1.27%,1,66.24%,19,0.00%,0,63.71%,25,+0.84%,2,72.57%,31,+2.11%,5,74.26%,34,+2.11%,7,34.60%,12,+5.91%,3,56.96%,25,+2.95%,7
global_mmlu_full_id_international_law,21.49%,9,+18.18%,14,48.76%,20,+2.48%,5,54.55%,11,+1.65%,1,66.12%,18,+2.48%,1,58.68%,23,+1.65%,2,69.42%,27,+0.83%,1,71.07%,7,+4.96%,4,33.88%,11,+0.83%,2,58.68%,4,+3.31%,2
global_mmlu_full_id_jurisprudence,25.93%,16,+3.70%,6,39.81%,15,+4.63%,4,50.93%,15,-2.78%,0,60.19%,19,+1.85%,3,49.07%,21,+0.93%,1,55.56%,25,+4.63%,17,65.74%,10,+3.70%,12,34.26%,14,+1.85%,2,49.07%,30,+5.56%,15
global_mmlu_full_id_logical_fallacies,26.38%,3,+4.91%,5,34.36%,19,+3.68%,7,34.36%,14,-0.61%,0,42.33%,6,+3.07%,4,42.33%,17,+2.45%,1,60.12%,25,+1.23%,3,62.58%,34,+2.45%,6,28.22%,8,+3.07%,3,29.45%,3,+6.13%,20
global_mmlu_full_id_moral_disputes,30.06%,9,+0.87%,1,35.26%,17,+5.49%,8,37.28%,14,-1.73%,0,45.95%,27,+1.16%,1,47.98%,23,+1.45%,5,55.20%,25,+0.29%,2,61.85%,27,+2.02%,6,32.66%,12,+1.16%,3,45.95%,21,+0.58%,4
global_mmlu_full_id_moral_scenarios,24.47%,11,+2.79%,9,27.04%,1,+1.45%,4,25.14%,11,+4.80%,6,37.65%,22,+0.22%,1,24.58%,7,+4.02%,14,36.65%,32,+0.56%,2,31.84%,9,+7.60%,17,27.37%,0,+0.11%,1,26.82%,16,+1.34%,4
global_mmlu_full_id_philosophy,31.51%,17,0.00%,0,41.48%,23,0.00%,0,38.91%,15,+0.96%,1,50.48%,21,+1.61%,6,48.87%,23,+0.64%,2,62.70%,28,+0.96%,3,65.27%,21,+0.96%,3,32.48%,12,+1.29%,1,48.55%,19,+0.96%,8
global_mmlu_full_id_prehistory,26.54%,8,+3.70%,5,41.36%,25,+0.62%,2,43.21%,15,-0.31%,0,52.47%,18,+3.40%,4,49.07%,25,+1.23%,2,58.64%,30,+1.85%,8,68.52%,30,+0.93%,9,33.95%,11,+3.70%,3,49.38%,28,+1.23%,1
global_mmlu_full_id_professional_law,24.19%,3,+1.43%,9,29.60%,22,+1.24%,4,30.25%,11,+1.11%,1,34.29%,16,+0.13%,2,33.70%,20,+0.20%,2,39.44%,26,+0.72%,5,40.68%,34,+0.26%,3,27.84%,12,+0.72%,3,31.36%,19,+1.76%,10
global_mmlu_full_id_world_religions,25.73%,4,+10.53%,8,42.11%,21,+2.92%,8,42.11%,11,+4.68%,2,59.06%,21,+2.92%,9,56.73%,23,+1.75%,3,65.50%,22,+2.34%,6,76.61%,33,+0.58%,1,35.09%,15,+4.68%,4,57.89%,23,+0.58%,1
global_mmlu_full_id_business_ethics,27.00%,10,+6.00%,6,30.00%,17,+5.00%,9,45.00%,14,0.00%,0,57.00%,19,0.00%,0,50.00%,22,+5.00%,5,65.00%,25,+1.00%,1,66.00%,26,+3.00%,7,30.00%,14,+4.00%,4,45.00%,20,+2.00%,5
global_mmlu_full_id_clinical_knowledge,25.28%,11,+4.53%,5,43.02%,21,+1.51%,1,39.62%,14,0.00%,0,53.21%,24,+2.26%,7,58.11%,26,+1.13%,2,66.42%,25,+0.75%,4,71.32%,22,+2.64%,4,37.74%,15,-1.51%,0,41.13%,22,+3.40%,9
global_mmlu_full_id_college_medicine,22.54%,11,+10.40%,10,41.62%,15,+0.58%,2,28.90%,13,+2.89%,6,49.13%,19,+1.73%,3,52.60%,25,+1.73%,2,63.01%,25,+1.73%,6,68.79%,22,+2.31%,8,27.17%,12,+6.36%,3,34.10%,19,+5.20%,10
global_mmlu_full_id_global_facts,20.00%,8,+14.00%,7,24.00%,11,+10.00%,11,32.00%,8,+2.00%,3,30.00%,25,+11.00%,21,27.00%,13,+7.00%,11,27.00%,4,+5.00%,8,29.00%,15,+9.00%,21,30.00%,6,+2.00%,5,26.00%,8,+9.00%,20
global_mmlu_full_id_human_aging,28.70%,2,+5.38%,9,38.12%,15,+3.14%,6,43.05%,14,+1.35%,1,48.43%,12,+1.79%,5,51.57%,16,+4.04%,6,56.95%,26,+2.24%,7,65.47%,34,+0.90%,1,40.81%,11,+0.90%,1,51.12%,30,0.00%,0
global_mmlu_full_id_management,24.27%,11,+12.62%,5,46.60%,15,+1.94%,2,48.54%,11,-0.97%,0,65.05%,19,+0.97%,1,58.25%,18,+4.85%,5,75.73%,27,+1.94%,7,76.70%,20,+2.91%,5,25.24%,8,+7.77%,5,54.37%,20,+1.94%,6
